################################################################
# abuse.ch URLhaus Database Dump (CSV)                         #
# Last updated: 2018-06-06 16:44:05 (UTC)                      #
#                                                              #
# Terms Of Use: https://urlhaus.abuse.ch/api/                  #
# For questions please contact urlhaus [at] abuse.ch           #
################################################################
#
# id,dateadded,url,url_status,threat,tags,urlhaus_link
"16008","2018-06-06 16:44:05","http://indostraits.co.id/akuka.exe","offline","malware_download","exe","https://urlhaus.abuse.ch/url/16008/"
"16007","2018-06-06 16:39:18","http://www.ztowerseal.com/DOC/INV9557014768/","online","malware_download","emotet,doc","https://urlhaus.abuse.ch/url/16007/"
"16006","2018-06-06 16:39:02","http://service-pc.com.ro/ups.com/WebTracking/KDG-152694916879/","online","malware_download","emotet,doc","https://urlhaus.abuse.ch/url/16006/"
"16005","2018-06-06 16:37:05","http://shopndt.eu/FILE/Invoice-60456/","online","malware_download","emotet,doc","https://urlhaus.abuse.ch/url/16005/"
"16004","2018-06-06 16:37:04","http://nancysartor.com/Client/Invoice-13746768-Invoice-date-060618-Order-no-84860320485/","online","malware_download","emotet,doc","https://urlhaus.abuse.ch/url/16004/"
"16003","2018-06-06 16:37:02","http://unclebudspice.com/FILE/Please-pull-invoice-94280/","online","malware_download","emotet,doc","https://urlhaus.abuse.ch/url/16003/"
"16002","2018-06-06 16:30:18","http://cripliver.com/Rechnungszahlung/Bezahlen-Sie-die-Rechnung-Nr04026/","online","malware_download","emotet,doc","https://urlhaus.abuse.ch/url/16002/"
"16001","2018-06-06 16:30:16","http://evo.ge/STATUS/Pay-Invoice/","online","malware_download","emotet,doc","https://urlhaus.abuse.ch/url/16001/"
"16000","2018-06-06 16:30:13","http://novaplaza.com/ups.com/WebTracking/YD-129365874409/","online","malware_download","emotet,doc","https://urlhaus.abuse.ch/url/16000/"
"15999","2018-06-06 16:30:09","http://signsdesigns.com.au/ACCOUNT/Invoice-2696072/","online","malware_download","emotet,doc","https://urlhaus.abuse.ch/url/15999/"
"15998","2018-06-06 16:30:06","http://nustyle.de/STATUS/tracking-number-and-invoice-of-your-order/","online","malware_download","emotet,doc","https://urlhaus.abuse.ch/url/15998/"
"15997","2018-06-06 16:22:34","http://electricchili.com/wp-content/plugins/bulletproof-security/includes/3","online","malware_download","None","https://urlhaus.abuse.ch/url/15997/"
"15996","2018-06-06 16:22:32","http://thelazyladder.com/wp-content/plugins/nextgen-gallery/3","online","malware_download","None","https://urlhaus.abuse.ch/url/15996/"
"15995","2018-06-06 16:22:31","http://arcanadevgroup.com/wp-content/themes/twentyfifteen/inc/3","online","malware_download","None","https://urlhaus.abuse.ch/url/15995/"
